Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
Q9X5X3	BAC0012	actP	Plasmid pSMED01 (Sinorhizobium medicae (strain WSM419))	Sinorhizobium medicae (strain WSM419) (Ensifer medicae)	"Copper (Cu), Sodium acetate [class: Acetate]"	Copper-transporting P-type ATPase; Involved in copper efflux; Transcriptionally regulated by HmrR in response to Cu+ ions.
Q9X5V3	BAC0568	actP	Chromosome	Rhizobium leguminosarum bv. Viciae	Copper (Cu)	Copper-transporting P-type ATPase. Involved in copper efflux. Transcriptionally regulated by HmrR in response to Cu+ ions.
D5AU53	BAC0570	actP	Chromosome	Rhodobacter capsulatus B100	Tellurium (Te)	Acetate Permease (ActP) is responsible for tellurite uptake and resistance in cells of the facultative phototroph Rhodobacter capsulatus.
P32705	BAC0564	actP/yjcG	Chromosome	Escherichia coli (strain K12)	"Sodium Glycocholate [class: Acid], Sodium acetate [class: Acetate]"	Transports acetate. Also able to transport glycolate.
A6UEL7	BAC0565	actR	Chromosome	Rhizobium meliloti strain WSM419	"Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]"	Acid tolerance regulatory protein ActR. Member of the two-component regulatory system ActS/ActR acting in acid tolerance. These data implicate that a two-component sensor may be involved in pH sensing and/or response.
Q52912	BAC0566	actS	Chromosome	Rhizobium meliloti strain WSM419	"Cadmium (Cd), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid], Sodium azide [class: Azide]"	Member of the two-component regulatory system ActS/ActR acting in acid tolerance. These data implicate that a two-component sensor may be involved in pH sensing and/or response.
Q93E20	BAC0471	adeA	Chromosome	Acinetobacter baumanni	"Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]"	"AdeA membrane fusion protein. Part of the AdeABC efflux system. Confers resistance to antibiotics such as aminoglycosides, beta-lactams, chloramphenicol, tetracycline, tigercycline, trimethoprim, fluoroquinolones and other antibacterial compounds such as dyes, diamidines, biguanides, QACs and anionic detergents."
Q93E19	BAC0472	adeB	Chromosome	Acinetobacter baumanni	"Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergise, Wex-cide-128."	"AdeB RND protein. Part of the AdeABC efflux system. Confers resistance to antibiotics such as aminoglycosides, beta-lactams, chloramphenicol, tetracycline, tigercycline, trimethoprim, fluoroquinolones and other antibacterial compounds such as dyes, diamidines, biguanides, QACs and anionic detergents."
Q93E18	BAC0473	adeC	Chromosome	Acinetobacter baumanni	"Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]"	"AdeC outer membrane protein. Part of the AdeABC efflux system. Confers resistance to antibiotics such as aminoglycosides, beta-lactams, chloramphenicol, tetracycline, tigercycline, trimethoprim, fluoroquinolones and other antibacterial compounds such as dyes, diamidines, biguanides, QACs and anionic detergents."
Q67GM1	BAC0474	adeD	Chromosome	Acinetobacter sp. 4365	Ethidium Bromide [class: Phenanthridine]	Resistance-nodulation-cell division efflux system AdeDE in Acinetobacter; AdeDE increases the host resistance to ceftazidime and rifampicin. The outer-membrane protein (OMP) for AdeDE has not been identified yet (Oct 2013).
Q8GKU1	BAC0013	adeE	Chromosome	Acinetobacter  sp. 4356	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]"	Resistance-nodulation-cell division efflux system AdeDE in Acinetobacter. AdeDE increases the host resistance to ceftazidime and rifampicin. The outer-membrane protein (OMP) for AdeDE has not been identified yet (Oct 2013).
Q2FD82	BAC0014	adeF	Chromosome	Acinetobacter baumanni	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]"	"Putative RND family drug transporter AdeF; Part of AdeFGH efflux system. Confers resistance to antibiotics such as tetracyclines, chloramphenicol, fluoroquinolones, trimethoprim and other antibacterial biocides such as dyes, anionic detergents."
Q2FD81	BAC0015	adeG	Chromosome	Acinetobacter baumannii (strain AB0057)	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]"	"Cation/multidrug efflux pump AdeG; Part of AdeFGH efflux system. Confers resistance to antibiotics such as tetracyclines, chloramphenicol, fluoroquinolones, trimethoprim and other antibacterial biocides such as dyes, anionic detergents."
Q2FD80	BAC0016	adeH	Chromosome	Acinetobacter baumannii (strain AB0057)	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]"	"Putative RND family drug transporter AdeH; Part of AdeFGH efflux system. Confers resistance to antibiotics such as tetracyclines, chloramphenicol, fluoroquinolones, trimethoprim and other antibacterial biocides such as dyes, anionic detergents."
Q2FD95	BAC0017	adeI	Chromosome	Acinetobacter baumannii (strain AB0057)	"Acridine Orange [class: Acridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Crystal Violet [class: Triarylmethane], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Rhodamine 123 [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Synergize [class: QAC-Glutaraldehyde], Virkon S [class: Peroxysulfate], Wex-cide-128 [class: Phenyl]"	"Part of AdeIJK MDR pump. Contributes to resistance to beta-lactams, chloramphenicol, tetracycline, erythromycin, lincosamides, fluoroquinolines, fusidic acid, tigecycline, novobiocin, rifampin, trimethoprim and dyes such as acridine, safranin, pyronin, and anionic detergents such as sodium dodecyl sulfate. "
Q24LT7	BAC0018	adeJ	Chromosome	Acinetobacter baumannii (strain AB0057)	"Acridine Orange [class: Acridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Part of AdeIJK MDR pump. Contributes to resistance to beta-lactams, chloramphenicol, tetracycline, erythromycin, lincosamides, fluoroquinolines, fusidic acid, tigecycline, novobiocin, rifampin, trimethoprim and dyes such as acridine, safranin, pyronin, and anionic detergents such as sodium dodecyl sulfate."
Q24LT6	BAC0019	adeK	Chromosome	Acinetobacter baumannii (strain AB0057)	"Acridine Orange [class: Acridine], Safranin O [class: Azin], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Part of AdeIJK MDR pump. Contributes to resistance to beta-lactams, chloramphenicol, tetracycline, erythromycin, lincosamides, fluoroquinolines, fusidic acid, tigecycline, novobiocin, rifampin, trimethoprim and dyes such as acridine, safranin, pyronin, and anionic detregents such as sodium dodecyl sulfate."
A3M732	BAC0508	adeL	Chromosome	Acinetobacter baumanni	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]"	Regulator of adeFGH efflux system
B7H1T7	BAC0496	adeN	Chromosome	Acinetobacter baumanni	"Safranin O [class: Azin], Acridine Orange [class: Acridine], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	Repressor of AdeIJK expression
C7F8K6	BAC0478	adeT1	Chromosome	Acinetobacter baumanni AC0037	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Rhodamine 123 [class: Xanthene], Methyl Viologen [class: Paraquat], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
C7F8K7	BAC0479	adeT2	Chromosome	Acinetobacter baumanni	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Rhodamine 123 [class: Xanthene], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Crystal Violet [class: Triarylmethane], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
Q8GGJ6	BAC0020	aioA/aoxB	Chromosome	Herminiimonas arsenicoxydans	Arsenic (As)	It is a structural gene which codes for small subunit of Arsenite oxidase aioAB; Involved in the detoxification of arsenic. Oxidizes As(III)O3- (arsenite) to the somewhat less toxic As(V)O4- (arsenate).
Q8GGJ7	BAC0021	aioB/aoxA	Chromosome	Herminiimonas arsenicoxydans	Arsenic (As)	"It is a structural gene which codes for small subunit of Arsenite oxidase, AioAB; Involved in the detoxification of arsenic. Oxidizes As(III)O3- (arsenite) to the somewhat less toxic As(V)O4- (arsenate)."
W1L7N4	BAC0715	aioE	Chromosome	Argobacterium tumefaciens GW4 	Arsenic (As)	FAD-dependent pyridine nucleotide-disulfide oxidoreductase
Q2VGB1	BAC0022	aioR/aoxR	Chromosome	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	Arsenic (As)	Transcriptional regulator. Part of a two-component As(III) responsive system (AioSR)
Q2VGB2	BAC0023	aioS/aoxS	Chromosome	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	Arsenic (As)	Sensor histidine kinase; signal transduction protein
G8XNW6	BAC0024	aioX/aoxX	Chromosome	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	Arsenic (As)	A periplasmic oxyanion-binding protein involved in regulating arsenite oxidation
O52119	BAC0489	ALU1-P	Chromosome	Arthrobacter viscosus ALRJJ6	Aluminium (Al)	"Fragment of the ALU1 resistance gene called ALU1-P but the frament has the potential to confer tolerance to aluminium . It has 65% identity in amino acid level with the protein of YbaX gene in Escherichia coli, and 51.1% identity with YB91 Haein hypothetical protein of HI1191 gene in Haemophilus influenzae."
C4PAW9	BAC0025	amvA	Chromosome	Acinetobacter baumannii	"Acriflavine [class: Acridine], Chlorhexidine [class: Biguanides], Methyl Viologen [class: Paraquat], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Sodium Deoxycholate (SDC) [class: Acid]"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
Q7WTU0	BAC0709	arrA	Chromosome	Shewanella sp. strain ANA-3	Arsenic (As)	Twin-arginine translocation pathway signal
AAQ01673	BAC0710	arrB	Chromosome	Shewanella sp. strain ANA-3	Arsenic (As)	ArrB
P52145	BAC0030	arsA	Plasmid IncN R46	Escherichia coli	"Arsenic (As), Antimony (Sb)"	"Anion-transporting ATPase; Determinants of a membrane-associated oxyanion-stimulated ATPase protein; energizes the arsenite efflux pump by ATP hydrolysis; Catalyzes the extrusion of the oxyanions arsenite, antimonite and arsenate. Maintenance of a low intracellular concentration of oxyanion produces resistance to the toxic agents."
O50593	BAC0571	arsA	Plasmid pKW301	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	"Arsenic (As), Antimony (Sb)"	"Anion-transporting ATPase. Catalyzes the extrusion of the oxyanions arsenite, antimonite and arsenate. Maintenance of a low intracellular concentration of oxyanion produces resistance to the toxic agents."
P08690	BAC0572	arsA	Plasmid R773	Escherichia coli	"Arsenic (As), Antimony (Sb)"	"Anion-transporting ATPase. Catalyzes the extrusion of the oxyanions arsenite, antimonite and arsenate. Maintenance of a low intracellular concentration of oxyanion produces resistance to the toxic agents."
P08691	BAC0031	arsB	"Plasmid R773 (E. coli), Plasmid IncN R46 (E. coli), Plasmid R46 (Salmonella typhimurium)"	Escherichia coli	"Arsenic (As), Antimony (Sb)"	"Arsenic pump membrane protein, located in cell inner membrane. Involved in arsenite and antimonite resistance. Thought to form a channel of an arsenite pump."
P45946	BAC0573	arsB	Chromosome	Bacillus subtilis (strain 168)	Arsenic (As)	Seems to confer resistance to arsenite by allowing cells to extrude this compound. Could be part of an arsenite extrusion pump. Deletion of the arsB gene results in both an aresenite- and arsenate-sensitive phenotype in the absence of IPTG.
P30329	BAC0574	arsB	Plasmid pI258	Staphylococcus aureus	"Arsenic (As), Antimony (Sb)"	Involved in arsenical resistance. Thought to form the channel of an arsenite pump.
Q01255	BAC0575	arsB	Plasmid pSX267	Staphylococcus xylosus	"Arsenic (As), Antimony (Sb)"	Involved in arsenical resistance. Thought to form the channel of an arsenite pump.
P52146	BAC0576	arsB	Plasmid IncN R46	Escherichia coli	"Arsenic (As), Antimony (Sb)"	Involved in arsenical resistance. Thought to form the channel of an arsenite pump.
P74985	BAC0577	arsB	Plasmid pYV	Yersinia enterocolitica	Arsenic (As)	Involved in arsenical resistance. Thought to form the channel of an arsenite pump.
O50594	BAC0578	arsB	Plasmid pKW301	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	"Arsenic (As), Antimony (Sb)"	Part of  arsenic resistance operon of Acidiphilium multivorum AIU 301 plasmid pKW301.
P74311	BAC0579	arsB	Chromosome	Synechocystis sp. PCC 6803	"Arsenic (As), Antimony (Sb)"	Able to export both As(III) and Sb(III) and providies a example of convergent evolution between both families of arsenite transporters.
P0A006	BAC0032	arsC	Plasmid pI258	Staphylococcus aureus	Arsenic (As)	"Arsenate reductase. Reduces arsenate [As(V)] to arsenite [As(III)] and dephosphorylates tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates. Could switch between different functions in different circumstances."
Q01257	BAC0580	arsC	Plasmid pSX267	Staphylococcus xylosus	Arsenic (As)	"Arsenate reductase. Reduces arsenate [As(V)] to arsenite [As(III)] and dephosphorylates tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates. Could switch between different functions in different circumstances."
P45947	BAC0581	arsC	Chromosome	Bacillus subtilis (strain 168)	Arsenic (As)	"Arsenate reductase. Reduces arsenate [As(V)] to arsenite [As(III)] and dephosphorylates tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates. Could switch between different functions in different circumstances."
P08692	BAC0582	arsC	Plasmid R773	Escherichia coli	"Arsenic (As), Antimony (Sb)"	Reduction of arsenate [As(V)] to arsenite [As(III)]. This protein expands the substrate specificity of ArsAB pump which can extrude arsenite and antimonite to allow for arsenate pumping and resistance.
P52147	BAC0583	arsC	Plasmid IncN R46	Escherichia coli	"Arsenic (As), Antimony (Sb)"	Reduction of arsenate [As(V)] to arsenite [As(III)]. This protein expands the substrate specificity of ArsAB pump which can extrude arsenite and antimonite to allow for arsenate pumping and resistance.
O50595	BAC0584	arsC	Plasmid pKW301	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301)	"Arsenic (As), Antimony (Sb)"	Reduction of arsenate [As(V)] to arsenite [As(III)]. This protein expands the substrate specificity of ArsAB pump which can extrude arsenite and antimonite to allow for arsenate pumping and resistance
P74984	BAC0585	arsC	Plasmid pYV	Yersinia enterocolitica	"Arsenic (As), Antimony (Sb)"	Reduction of arsenate [As(V)] to arsenite [As(III)]. This protein expands the substrate specificity of ArsAB pump which can extrude arsenite and antimonite to allow for arsenate pumping and resistance.
P74313	BAC0586	arsC	Chromosome	Synechocystis sp. PCC 6803	Arsenic (As)	Arsenate reductase. Reduces arsenate [As(V)] to arsenite [As(III)].
P46003	BAC0033	arsD	"Plasmid R773 (E. coli), Plasmid R64 (Salmonella typhimurium)"	Escherichia coli	Arsenic (As)	An arsenic metallochaperone for an arsenic detoxification pump
P52148	BAC0587	arsD	Plasmid IncN R46	Escherichia coli	"Arsenic (As), Antimony (Sb)"	Arsenical resistance operon trans-acting repressor ArsD.
E8PS81	BAC0034	arsH	"Plasmid pKPN-IT (Klebsiella pneumoniae), Plasmid R485 (Morganella morganii (Proteus morganii))"	Yersinia pestis Java 9	Arsenic (As)	"Arsenical resistance protein ArsH; ArsH is not required for arsenate resistance in some systems; arsH encodes an NADPH-flavin mononucleotide oxidoreductase and has been shown to be involved in arsenic resistance in Yersinia enterocolitica and Sinorhizobium meliloti. It is an essential component in a new four gene arsenical resistance transposon associated operon, arsHRBC."
P74312	BAC0595	arsH	Chromosome	Synechocystis sp. PCC 6803	"Arsenic (As), Menadione [class: Naphthoquinone]"	ArsH from Synechocystis sp. does not cofer resistance to arsenic (reduction of arsenate) as the arsH of Synechocystis sp. lacks cyestein residues.  arsH encodes an NADPH-flavin mononucleotide oxidoreductase. ArsH plays a role in the response to oxidative stress caused by arsenite.
Q6N3Y0	BAC0035	arsM	Chromosome	Rhodopseudomonas palustris CGA009	Arsenic (As)	"Arsenite S-adenosylmethyltransferase; involved in arsenite methyltransferase activity; arsM encodes an arsenite S-adenosylmethionine methyltransferase that methylates arsenite to volatile trimethylarsine, contributing to arsenic detoxification in bacteria."
B5LWZ8	BAC0036	arsP	Chromosome	Campylobacter jejuni	Arsenic (As)	arsenic resistance membrane permease
P74986	BAC0588	arsR	Plasmid pYV	Yersinia enterocolitica	Arsenic (As)	Arsenite inducible repressor ArsR
P15905	BAC0589	arsR	Plasmid R773	Escherichia coli	"Arsenic (As), Antimony (Sb), Bismuth (Bi)"	"Transcriptional repressor for the ars operon. ArsR is a trans-acting regulatory protein which controls its own expression. The repressive effect of ArsR is alleviated by oxyions of +III oxidation state of arsenic, antimony, and bismuth, as well as arsenate (As(V))."
P30338	BAC0590	arsR	Plasmid pI258	Staphylococcus aureus	"Arsenic (As), Antimony (Sb), Bismuth (Bi)"	"Transcriptional repressor for the ars operon. ArsR is a trans-acting regulatory protein which controls its own expression. The repressive effect of ArsR is alleviated by oxyions of +III oxidation state of arsenic, antimony, and bismuth, as well as arsenate (As(V))."
P52144	BAC0591	arsR	Plasmid IncN R46	Escherichia coli	"Arsenic (As), Antimony (Sb), Bismuth (Bi)"	"Transcriptional repressor for the ars operon. ArsR is a trans-acting regulatory protein which controls its own expression. The repressive effect of ArsR is alleviated by oxyions of +III oxidation state of arsenic, antimony, and bismuth, as well as arsenate (As(V))."
Q01256	BAC0592	arsR	Plasmid pSX267	Staphylococcus xylosus	"Arsenic (As), Antimony (Sb), Bismuth (Bi)"	"Transcriptional repressor for the ars operon. ArsR is a trans-acting regulatory protein which controls its own expression. The repressive effect of ArsR is alleviated by oxyions of +III oxidation state of arsenic, antimony, and bismuth, as well as arsenate (As(V))."
P45949	BAC0593	arsR	Chromosome	Bacillus subtilis (strain 168)	Arsenic (As)	Transcriptional repressor for the ars operon.
P37309	BAC0594	arsR	Chromosome	Escherichia coli (strain K12)	Arsenic (As)	"Transcriptional repressor for the arsEFG operon. ArsE is a trans-acting regulatory protein which controls its own expression. The repressive effect of ArsE is alleviated by oxyions of +III oxidation state of arsenic, antimony, and bismuth, as well as arsenate (As(V))."
B7FB00	BAC0714	arsT	Chromosome	Microbacterium sp. A33	Arsenic (As)	Thioredoxin reductase
P36560	BAC0038	asr	Chromosome	Escherichia coli (strain K12)	Hydrochloric acid (HCl) [class: Acid]	Acid shock protein Asr; Required for growth and/or survival at acidic conditions (pH 4.5). Needed for the adaptation process at pH 4.5 that enables cells to survive at extremely low pH (pH 2.0).
P69228	BAC0039	baeR	Chromosome	Escherichia coli (strain K12)	"Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]"	"Member of the two-component regulatory system BaeS/BaeR. Activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons. Overexpression of BaeR increases resistance to novobiocin and deoxycholate. BaeR upregulates the mdtABCD locus and acrD and thereby increases the resistance to deoxycholate, metals and antibiotics."
D0ZNE3	BAC0596	baeR	Chromosome	Salmonella Typhimurium	"Copper (Cu), Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]"	Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons.
